word	word_index_in_text	word_index_in_sent	sent_index_in_text	word_limit_char_indices	text_id	is_technical_term	word_length	STTS_punctuation_before	STTS_punctuation_after	is_in_quote	is_in_parentheses	is_clause_beginning	is_sent_beginning	is_abbreviation	contains_symbol	contains_hyphen	contains_abbreviation	STTS_PoS_tag	type	type_length_chars	PoS_tag	lemma	lemma_length_chars	syllables	type_length_syllables	annotated_type_frequency_normalized	type_frequency_normalized	lemma_frequency_normalized	familiarity_normalized	regularity_normalized	document_frequency_normalized	sentence_frequency_normalized	cumulative_syllable_corpus_frequency_normalized	cumulative_syllable_lexicon_frequency_normalized	cumulative_character_corpus_frequency_normalized	cumulative_character_lexicon_frequency_normalized	cumulative_character_bigram_corpus_frequency_normalized	cumulative_character_bigram_lexicon_frequency_normalized	cumulative_character_trigram_corpus_frequency_normalized	cumulative_character_trigram_lexicon_frequency_normalized	initial_letter_frequency_normalized	initial_bigram_frequency_normalized	initial_trigram_frequency_normalized	avg_cond_prob_in_bigrams	avg_cond_prob_in_trigrams	neighbors_coltheart_higher_freq_cum_freq_normalized	neighbors_coltheart_higher_freq_count_normalized	neighbors_coltheart_all_cum_freq_normalized	neighbors_coltheart_all_count_normalized	neighbors_levenshtein_higher_freq_cum_freq_normalized	neighbors_levenshtein_higher_freq_count_normalized	neighbors_levenshtein_all_cum_freq_normalized	neighbors_levenshtein_all_count_normalized
Eine	1	1	1	1,4	b4	0	4			0	0	0	1	0	0	0	0	ART	Eine	4.0	art	eine	4.0	ei-ne	2.0	400.881348726	402.745266738	17543.4333976	418.752071412	4.70894442589	1664.85968584	762.932673283	30417.7276523	27062.3036156	1631171.42743	3391959.69144	270950.550852	383709.620802	186734.099841	228115.822909	14903.9783425	3644.7281691	2977.8869754	0.0084152481915	0.0257485807386	4602.28334698	0.428085856899	4693.80335634	24.4008938433	5164.96585919	0.856171713799	5388.77499687	31.6783534106
chlorophyllhaltige	2	2	1	5,22	b4	1	18			0	0	0	0	0	0	0	0	ADJA	chlorophyllhaltige	18.0	adja	chlorophyllhaltig	17.0	chlo-rophyll-hal-ti-ge	5.0	0.00817507899599	0.00817507899599	0.032700315984	0.04087539498	2.1404292845	0.126068429944	0.0155184320176	55332.2210266	146735.417255	3843416.65426	9736712.64309	494094.539573	1122054.12718	168719.266863	265923.509619	922.345112644	346.835901484	1.58596532522	3.66e-07	3.153e-06	0.0	0.0	0.0	0.0	0.024525236988	0.428085856899	0.024525236988	0.428085856899
Parenchymzelle	3	3	1	23,36	b4	2	14			0	0	0	0	0	0	0	0	NN	Parenchymzelle	14.0	nn	Parenchymzelle	14.0	pa-ren-chym-zel-le	5.0																												
in	4	4	1	37,38	b4	0	2			0	0	0	0	0	0	0	0	APPR	in	2.0	appr	in	2.0	in	1.0	13129.4221199	13165.4578681	14298.1641135	0.0	0.0	8527.89894355	19687.5208529	18583.5486983	15158.092107	842500.587604	1735372.30627	309490.415689	350022.68855	273957.116004	252232.89583	37971.7622471	15391.66268	-0.00817507899599	0.0682365415668	0.281559937821	0.0	0.0	9683.14399346	42.380499833	0.0	0.0	17389.6438116	75.7711966712
einem	5	5	1	39,43	b4	0	5			0	0	0	0	0	0	0	0	ART	einem	5.0	art	eine	4.0	ei-nem	2.0	1782.61685047	1790.34230012	17543.4333976	7303.86082739	14.1268332777	3919.97176067	3153.9350864	17827.7708202	6388.75332837	2493277.74291	5201994.02392	301314.568235	387807.68671	171268.730649	89262.7505372	45007.5949345	21503.4825387	20569.6023896	0.0251622544387	0.156656778568	4450.57840605	0.856171713799	5459.35045384	11.5583181363	9052.86175303	1.2842575707	10785.1855175	20.9762069881
Angiospermenblatt	6	6	1	44,60	b4	2	17			0	0	0	0	0	0	0	0	NN	Angiospermenblatt	17.0	nn	Angiospermenblatt	17.0	an-gi-o-sper-men-blatt	6.0																												
exportiert	7	7	1	61,70	b4	0	10			0	0	0	0	0	0	0	0	VVFIN	exportiert	10.0	vvfin	exportieren	11.0	ex-por-tiert	3.0	0.564080450723	2.46887385679	5.16664992547	10.276074298	36.8153836934	30.6346284763	4.64001117327	883.161959016	5281.72330243	3298658.77937	7743559.0202	459630.89175	831269.531417	160090.258431	184585.056379	45007.5949345	251.52265547	51.5602232277	0.0382927934272	0.25872495202	0.0	0.0	0.0981009479519	1.7123434276	0.0	0.0	0.523205055744	2.9966009983
organisches	8	8	1	71,81	b4	1	11			0	0	0	0	0	0	0	0	ADJA	organisches	11.0	adja	organisch	9.0	or-ga-ni-sches	4.0	0.842033136587	0.842033136587	30.69742163	34.588759232	14.1268332777	7.31196893674	1.53632476975	8864.45070741	37821.3854571	3338757.74622	7900091.61037	461933.836028	1086944.23754	183817.550484	419162.835298	5492.20609632	269.875707816	106.480403923	0.00388579974757	0.164409590553	15.8841784892	0.856171713799	16.317457676	2.1404292845	24.8358899898	1.2842575707	25.2773442556	2.9966009983
Material	9	9	1	82,89	b4	0	8			0	0	0	0	0	0	0	0	NN	Material	8.0	nn	Material	8.0	ma-te-ri-al	4.0	52.5003573123	52.5003573123	72.9217046443	78.9957883383	67.6375653901	303.446710875	97.8747507352	39633.3961035	95397.6489525	2432935.23669	5872399.59246	347266.376619	866309.214976	60914.5573689	170721.923989	14815.8918663	4446.16386339	255.234141334	0.0831151043815	0.335969647496	0.0	0.0	0.564080450723	2.9966009983	0.0	0.0	12.6059718118	5.99320199659
in	10	10	1	90,91	b4	0	2			0	0	0	0	0	0	0	0	APPR	in	2.0	appr	in	2.0	in	1.0	13129.4221199	13165.4578681	14298.1641135	0.0	0.0	8527.89894355	19687.5208529	18583.5486983	15158.092107	842500.587604	1735372.30627	309490.415689	350022.68855	273957.116004	252232.89583	37971.7622471	15391.66268	-0.00817507899599	0.0682365415668	0.281559937821	0.0	0.0	9683.14399346	42.380499833	0.0	0.0	17389.6438116	75.7711966712
