aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	1.0	80.0	21.0	185.0	99.0	Wurzeln
0 RECTANGLE	2.0	185.0	21.0	325.0	99.0	entziehen
0 RECTANGLE	3.0	325.0	21.0	381.0	99.0	dem
0 RECTANGLE	4.0	381.0	21.0	464.0	99.0	Boden
0 RECTANGLE	5.0	464.0	21.0	575.0	99.0	Wasser,
0 RECTANGLE	6.0	575.0	21.0	647.0	99.0	aber
0 RECTANGLE	7.0	647.0	21.0	702.0	99.0	sie
0 RECTANGLE	8.0	702.0	21.0	801.0	99.0	nehmen
0 RECTANGLE	9.0	801.0	21.0	871.0	99.0	auch
0 RECTANGLE	10.0	871.0	21.0	1038.0	99.0	essenzielle
0 RECTANGLE	11.0	1038.0	21.0	1235.0	99.0	Mineralstoffe
0 RECTANGLE	12.0	1235.0	21.0	1303.0	99.0	auf.
0 RECTANGLE	13.0	1303.0	21.0	1389.0	99.0	Böden
0 RECTANGLE	14.0	1389.0	21.0	1459.0	99.0	sind
0 RECTANGLE	15.0	1459.0	21.0	1591.0	99.0	heterogen
0 RECTANGLE	16.0	81.0	99.0	129.0	181.0	und
0 RECTANGLE	17.0	129.0	99.0	227.0	181.0	weisen
0 RECTANGLE	18.0	227.0	99.0	409.0	181.0	Unterschiede
0 RECTANGLE	19.0	409.0	99.0	465.0	181.0	auf
0 RECTANGLE	20.0	465.0	99.0	577.0	181.0	kleinem
0 RECTANGLE	21.0	577.0	99.0	647.0	181.0	Raum
0 RECTANGLE	22.0	647.0	99.0	714.0	181.0	auf.
0 RECTANGLE	23.0	714.0	99.0	840.0	181.0	Wurzeln,
0 RECTANGLE	24.0	840.0	99.0	898.0	181.0	die
0 RECTANGLE	25.0	898.0	99.0	983.0	181.0	durch
0 RECTANGLE	26.0	983.0	99.0	1039.0	181.0	den
0 RECTANGLE	27.0	1039.0	99.0	1122.0	181.0	Boden
0 RECTANGLE	28.0	1122.0	99.0	1247.0	181.0	wachsen,
0 RECTANGLE	29.0	1247.0	99.0	1347.0	181.0	können
0 RECTANGLE	30.0	1347.0	99.0	1403.0	181.0	auf
0 RECTANGLE	31.0	1403.0	99.0	1521.0	181.0	Regionen
