aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	1.0	80.0	21.0	269.0	99.0	Motormoleküle
0 RECTANGLE	2.0	269.0	21.0	339.0	99.0	sind
0 RECTANGLE	3.0	339.0	21.0	448.0	99.0	Enzyme,
0 RECTANGLE	4.0	448.0	21.0	548.0	99.0	welche
0 RECTANGLE	5.0	548.0	21.0	604.0	99.0	die
0 RECTANGLE	6.0	604.0	21.0	717.0	99.0	Energie
0 RECTANGLE	7.0	717.0	21.0	772.0	99.0	aus
0 RECTANGLE	8.0	772.0	21.0	828.0	99.0	der
0 RECTANGLE	9.0	828.0	21.0	968.0	99.0	Hydrolyse
0 RECTANGLE	10.0	968.0	21.0	1024.0	99.0	von
0 RECTANGLE	11.0	1024.0	21.0	1081.0	99.0	ATP
0 RECTANGLE	12.0	1081.0	21.0	1122.0	99.0	in
0 RECTANGLE	13.0	1122.0	21.0	1290.0	99.0	mechanische
0 RECTANGLE	14.0	1290.0	21.0	1402.0	99.0	Energie
0 RECTANGLE	15.0	1402.0	21.0	1555.0	99.0	umwandeln.
0 RECTANGLE	16.0	1555.0	21.0	1632.0	99.0	Dabei
0 RECTANGLE	17.0	81.0	99.0	227.0	181.0	induzieren
0 RECTANGLE	18.0	227.0	99.0	283.0	181.0	sie
0 RECTANGLE	19.0	283.0	99.0	352.0	181.0	eine
0 RECTANGLE	20.0	352.0	99.0	672.0	181.0	Konformationsänderung,
0 RECTANGLE	21.0	672.0	99.0	731.0	181.0	die
0 RECTANGLE	22.0	731.0	99.0	815.0	181.0	einen
0 RECTANGLE	23.0	815.0	99.0	955.0	181.0	Transport
0 RECTANGLE	24.0	955.0	99.0	1011.0	181.0	auf
0 RECTANGLE	25.0	1011.0	99.0	1068.0	181.0	den
0 RECTANGLE	26.0	1087.0	99.0	1227.0	181.0	Gleisen*e
0 RECTANGLE	27.0	1206.0	99.0	1373.0	181.0	ermöglicht.
0 RECTANGLE	28.0	1373.0	99.0	1431.0	181.0	Die
0 RECTANGLE	29.0	1451.0	99.0	94.0	263.0	Gleise*k
0 RECTANGLE	30.0	82.0	181.0	170.0	263.0	können
0 RECTANGLE	31.0	170.0	181.0	338.0	263.0	Mikrotubuli
0 RECTANGLE	32.0	338.0	181.0	408.0	263.0	oder
0 RECTANGLE	33.0	408.0	181.0	619.0	263.0	Aktinfilamente
0 RECTANGLE	34.0	619.0	181.0	700.0	263.0	sein.
0 RECTANGLE	35.0	700.0	181.0	898.0	263.0	Aktinbindende
0 RECTANGLE	36.0	898.0	181.0	1095.0	263.0	Motorproteine
0 RECTANGLE	37.0	1095.0	181.0	1165.0	263.0	sind
0 RECTANGLE	38.0	1165.0	181.0	1220.0	263.0	die
0 RECTANGLE	39.0	1220.0	181.0	1344.0	263.0	Myosine,
0 RECTANGLE	40.0	1344.0	181.0	1403.0	263.0	von
0 RECTANGLE	41.0	1403.0	181.0	1487.0	263.0	denen
0 RECTANGLE	42.0	1487.0	181.0	1521.0	263.0	in
0 RECTANGLE	43.0	81.0	263.0	227.0	345.0	Eukaryoten
0 RECTANGLE	44.0	227.0	263.0	353.0	345.0	siebzehn
0 RECTANGLE	45.0	353.0	263.0	479.0	345.0	Familien
0 RECTANGLE	46.0	479.0	263.0	631.0	345.0	vorkommen.
0 RECTANGLE	47.0	631.0	263.0	703.0	345.0	Eine
0 RECTANGLE	48.0	703.0	263.0	814.0	345.0	schwere
0 RECTANGLE	49.0	814.0	263.0	898.0	345.0	Kette
0 RECTANGLE	50.0	898.0	263.0	955.0	345.0	ist
0 RECTANGLE	51.0	955.0	263.0	997.0	345.0	an
0 RECTANGLE	52.0	997.0	263.0	1052.0	345.0	der
0 RECTANGLE	53.0	1052.0	263.0	1207.0	345.0	Ausbildung
0 RECTANGLE	54.0	1207.0	263.0	1291.0	345.0	einer
0 RECTANGLE	55.0	1291.0	263.0	1416.0	345.0	Schwanz-
0 RECTANGLE	56.0	1416.0	263.0	1474.0	345.0	und
0 RECTANGLE	57.0	1474.0	263.0	1548.0	345.0	einer
0 RECTANGLE	58.0	81.0	345.0	226.0	427.0	Kopfregion
0 RECTANGLE	59.0	226.0	345.0	378.0	427.0	beteiligt,
0 RECTANGLE	60.0	378.0	345.0	478.0	427.0	welche
0 RECTANGLE	61.0	478.0	345.0	534.0	427.0	die
0 RECTANGLE	62.0	534.0	345.0	702.0	427.0	Motordomäne
0 RECTANGLE	63.0	702.0	345.0	813.0	427.0	bildet.
0 RECTANGLE	64.0	813.0	345.0	870.0	427.0	Der
0 RECTANGLE	65.0	870.0	345.0	940.0	427.0	Kopf
0 RECTANGLE	66.0	940.0	345.0	1053.0	427.0	besitzt
0 RECTANGLE	67.0	1053.0	345.0	1122.0	427.0	eine
0 RECTANGLE	68.0	1122.0	345.0	1220.0	427.0	Aktin-
0 RECTANGLE	69.0	1220.0	345.0	1278.0	427.0	und
0 RECTANGLE	70.0	1278.0	345.0	1346.0	427.0	eine
0 RECTANGLE	71.0	1346.0	345.0	1615.0	427.0	ATP-Bindungsstelle.
0 RECTANGLE	72.0	82.0	427.0	115.0	509.0	Im
0 RECTANGLE	73.0	115.0	427.0	353.0	509.0	Übergangsbereich
0 RECTANGLE	74.0	353.0	427.0	409.0	509.0	von
0 RECTANGLE	75.0	409.0	427.0	479.0	509.0	Kopf
0 RECTANGLE	76.0	479.0	427.0	521.0	509.0	zu
0 RECTANGLE	77.0	521.0	427.0	633.0	509.0	Schwanz
0 RECTANGLE	78.0	633.0	427.0	731.0	509.0	können
0 RECTANGLE	79.0	731.0	427.0	968.0	509.0	unterschiedliche
0 RECTANGLE	80.0	968.0	427.0	1080.0	509.0	leichte
0 RECTANGLE	81.0	1080.0	427.0	1178.0	509.0	Ketten
0 RECTANGLE	82.0	1178.0	427.0	1277.0	509.0	binden
0 RECTANGLE	83.0	1277.0	427.0	1334.0	509.0	und
0 RECTANGLE	84.0	1334.0	427.0	1389.0	509.0	auf
0 RECTANGLE	85.0	1389.0	427.0	1472.0	509.0	diese
0 RECTANGLE	86.0	1472.0	427.0	1557.0	509.0	Weise
0 RECTANGLE	87.0	1557.0	427.0	1591.0	509.0	an
0 RECTANGLE	88.0	81.0	509.0	128.0	591.0	der
0 RECTANGLE	89.0	128.0	509.0	283.0	591.0	Regulation
